name,description,geometry
Музей истории Гражданской войны в Якутии 1921-1922,"<img src=""https://kartarf.ru/images/heritage/1080/4/46918.jpg""/>
С 2003 г. была начата подготовка к строительству музейного комплекса «Старая Слобода» В 2007 году Амгинский Музей Истории Гражданской Войны в Якутии был юридически преобразован в Муниципальное учреждение Амгинский районный музей Истории Гражданской войны в Якутии. В настоящее время в музейном комплексе действуют три дома: музей им. В.Г. Короленко; музей истории гражданской войны и ВОВ, дом-музей Л.В. Киренского. Коллекции основного фонда музея состоят из 2332 ед. музейных предметов. Фонды Амгинского музея в основном сформированы из фондов музея РБТС и поступлений из фонда ЯГОМИКНС. Основу музейных предметов и музейных коллекций составляют исторические документы, относящиеся к истории гражданской войны и Великой Отечественной войны, фотографии, биографии, личные вещи и награды, воспоминания, копии документов героев гражданской войны и ВОВ, а также материалы об истории Амгинского улуса.
","POLYGON ((131.998077 60.898655,131.998332 60.898205,131.998989 60.898285,131.99904 60.898212,132.000059 60.898348,132.000161 60.898201,132.000539 60.898254,132.000255 60.898745,132.000325 60.898762,132.000179 60.898956,131.99912 60.898803,131.998077 60.898655))"
Братская могила погибших в 1922 г.,"<img src=""https://www.yakutia24.ru/images/users/Alexey/2023/03/22/WhatsApp_Image_2023-03-21_at_11.14.36_6.jpeg""/>
<b>Братская могила погибших в боях Гражданской войны. На заднем плане - Амгинская Преображенская церковь.</b>
Амгинский улус потерял около 400 человек мирных жителей, ставших жертвами гражданской войны в разные годы.
Через территорию Амгинского улуса прошли огненным смерчем сражения: повстанчества (август 1921-октябрь 1922 г), поход Сибирской добровольческой дружины Пепеляева (октябрь 1922 г. – июнь 1923 г.), тунгусского восстания – (май 1924 г. – август 1925 г.) и вооруженная демонстрация конфедералистов (ноябрь 1927 г. – февраль 1928 г.) Но для жителей села самым  известным стала  Амгинская оборона (осада Амги) -1922 г.10 января- 6 мая 1922 г., Тогда осажденная получила название Амгинская республика.
","POLYGON ((131.985991 60.897118,131.986737 60.896387,131.988523 60.896896,131.987965 60.897376,131.987139 60.897366,131.985991 60.897118))"
Памятник на захоронении  С.Ю.Широких-Полянского,"<img src=""https://ysia.ru/wp-content/uploads/tilda/148255/pages/21011113/tild3666-3037-4165-b834-336265313135__img_4675.jpg""/>
<b>Памятник на захоронении 
С.Ю.Широких Полянского</b>
5 мая 1922 года 1922 г. С.Ю.Широких-Полянский выехал в Амгу в качестве военного комиссара сводного экспедиционного отряда под командованием К.К.Байкалова.Отряд попал в засаду белогвардейцев. Сергей Юльевич был смертельно ранен. Стрелявшим был якутский хамначчит (батрак), который был взят в плен. По приказу Сергея Юльевича пленный был отпущен, но сам он умер от ран. После освобождения Амги 7 мая 1922 года состоялись торжественные похороны С.Ю.Широких-Полянского на площади селения. Гибель С.Ю. Широких-Полянского сыграла большую роль в прекращении повстанчества","POLYGON ((131.986942 60.896682,131.987008 60.896635,131.987093 60.896664,131.987026 60.896711,131.986942 60.896682))"
Улица Партизанская,"<img src=""https://xn--80aaaambpp4b1d.xn--p1ai/wp-content/uploads/2024/06/76966531-0ed9-465c-9709-640325cf7566.jpeg""/>
Бойцы Красной Армии сыграли ключевую роль в Гражданской войне в Якутии, но главной заслугой армии стали не военные успехи красноармейцев, а те военно-политические единение боевых командиров и молодого руководства республики, которые сумели воплотить политику национального примирения. 
Командующий Байкалов, командиры Строд, Курашов и многие другие в сложной и запутанной ситуации Гражданской войны сумели не пойти по пути мести, ожесточения и своими действиями уберегли тысячи якутян от напрасно пролитой крови. Именно поэтому их фамилии не должны быть забыты и остаться в названиях улиц городов и поселков Якутии.
Улица появилась в конце 20-х годов XX в., является одной из первых, названа так, потому что во время Гражданской войны здесь  находился штаб красноармейцев.","LINESTRING (132.00125 60.899251,131.996484 60.898582,131.994016 60.898175,131.990497 60.897407,131.984933 60.895763,131.979787 60.894002,131.972719 60.89163,131.969908 60.890712,131.965585 60.889167,131.962892 60.888018,131.962943 60.887631,131.962833 60.886974,131.962008 60.886345,131.961175 60.88606,131.957998 60.885416,131.957145 60.885304)"
Улица имени Байкалова,"<img src=""https://yakutia.info/sites/default/files/inline/19/01/UambUYHM9R.jpg""/>
<b>Карл Карлович Байкалов (Некундэ) (1886-1950)</b>
Родился недалеко от Риги в семье батрака. По национальности — латыш. Активный участник борьбы за Советскую власть в Иркутской губернии, разгрома белогвардейских войск, вторгшихся в Монголию. За боевые подвиги в Западной Монголии награжден орденом Красного Знамени.
В марте 1922 года Реввоенсовет 5-ой Краснознаменной армии назначил К.К.Байкалова командующим Вооруженными силами Якутской АССР, он вводится в состав бюро обкома РКП(б) и избирается членом Президиума Якутского ЦИК. Под его руководством начались активные наступательные военные действия: в мае освобожден Амгинский гарнизон
Арестован 7 сентября 1937 г. по обвинению в связях с военной троцкистской организацией. 2 апреля 1938 г. осужден за контрреволюционную агитацию на 7 лет. Вторично 28 мая 1940 г. осужден на 10 лет в числе 25 руководителей республики за участие в “антисоветской организации”. Решением Особого совещания НКВД СССР от 10 сентября 1941 г. срок был сокращен до 5 лет. После отбытия срока работал в местности Абалах Мегино-Кангаласского улуса. Реабилитирован посмертно постановлением Военного трибунала Забайкальского военного округа от 13 января 1956 г.
Умер 8 августа 1950 г. Похоронен в местности Улахан Сайылык Мегино-Кангаласского улуса. 
","LINESTRING (131.965595 60.889169,131.96566 60.889,131.966057 60.888736,131.969254 60.889167,131.970619 60.88954,131.971472 60.889828,131.971805 60.889978,131.973759 60.890568,131.974447 60.890709,131.981191 60.893074)"
Улица имени Байкалова,"<img src=""https://yakutia.info/sites/default/files/inline/19/01/UambUYHM9R.jpg""/>
<b>Карл Карлович Байкалов (Некундэ) (1886-1950)</b>
Родился недалеко от Риги в семье батрака. По национальности — латыш. Активный участник борьбы за Советскую власть в Иркутской губернии, разгрома белогвардейских войск, вторгшихся в Монголию. За боевые подвиги в Западной Монголии награжден орденом Красного Знамени.
В марте 1922 года Реввоенсовет 5-ой Краснознаменной армии назначил К.К.Байкалова командующим Вооруженными силами Якутской АССР, он вводится в состав бюро обкома РКП(б) и избирается членом Президиума Якутского ЦИК. Под его руководством начались активные наступательные военные действия: в мае освобожден Амгинский гарнизон
Арестован 7 сентября 1937 г. по обвинению в связях с военной троцкистской организацией. 2 апреля 1938 г. осужден за контрреволюционную агитацию на 7 лет. Вторично 28 мая 1940 г. осужден на 10 лет в числе 25 руководителей республики за участие в “антисоветской организации”. Решением Особого совещания НКВД СССР от 10 сентября 1941 г. срок был сокращен до 5 лет. После отбытия срока работал в местности Абалах Мегино-Кангаласского улуса. Реабилитирован посмертно постановлением Военного трибунала Забайкальского военного округа от 13 января 1956 г.
Умер 8 августа 1950 г. Похоронен в местности Улахан Сайылык Мегино-Кангаласского улуса. 
","LINESTRING (131.994724 60.897324,131.997079 60.897674,131.998828 60.897833,132.001349 60.898198)"
Улица имени Алексеева,"<img src=""https://yakutia.info/sites/default/files/inline/19/01/b5Q8kDnt68.jpg""/>
<b>Иннокентий Егорович Алексеев (1903-1930 гг)</b>
Родился в Хаптагайском наслеге Восточно-Кангаласского улуса (ныне Мегино-Кангаласский улус) в семье крестьянина-середняка. Кандидат в члены Член ВКП(б).
В 1920 году одним из первых вступил в городе Якутске в комсомол. В том же году стал чекистом, участвовал в раскрытии контрреволюционного заговора в г. Якутске. В 1922 году принимал участие в боях против белобандитов в Чурапче, Амге, Никольском, Техтюре, Покровске.
В период борьбы с пепеляевцами комсомолец Кеша Алексеев назначается командиром национальной роты частей особого назначения (ЧОН). Рота и ее командир отличились при штурме Амгинской слободы, занятой и укрепленной пепеляевцами, за что он был награжден орденом Красного Знамени.
После окончания гражданской войны И.Е.Алексеев учился в Институте народного хозяйства им. Г.В.Плеханова в Москве, работал преподавателем Якутской советско-партийной школы, председателем Алданского окрисполкома.","LINESTRING (131.967763 60.900622,131.971174 60.902728,131.972376 60.903152,131.974887 60.903631,131.976032 60.903879,131.977011 60.904181,131.978905 60.904464,131.980108 60.90485)"
Улица имени Строда,"<img src=""https://nkvd.tomsk.ru/content/files/01/00/79/uuf509OwtsI4.jpg""/>
<b>Иван Яковлевич Строд  1894 – 1937 гг</b>
Легендарный красный командир, писатель-мемуарист и искусный мастер таёжных боёв. Он прославился как один из главных героев Гражданской войны в Сибири и Якутии, а также стал одним из немногих полных Георгиевских кавалеров Первой мировой войны, перешедших на сторону советской власти
В 1918 г. добровольно вступил в Красную Армию. Участвовал в боях против белогвардейцев и интервентов в Сибири. 
В 1921 - 1923 гг. командир батальона и помощник командира полка, проявил исключительный героизм в боях с белогвардейцами в Якутии, пройдя 2800 км от Иркутска до Якутска, а затем участвуя в разгроме дружины А.Н.Пепеляева в Сасыл-Сысыы в Амге.
 В 1927 г. уволен из Красной Армии по болезни, работал в Томске в Осоавиахиме. Проживал в г. Москва, Басманный туп., д. 10/12, кв.50.
Арестован 04.02.1937 по обвинению в участии в антисоветской террористической организации. Осужден 19.08.1937 Военной коллегией Верховного суда СССР. Приговорен к расстрелу.
Расстрелян 19 августа 1937 г. в Москве. 
Реабилитирован 23.07.1957 ВКВС СССР.
","LINESTRING (131.984932 60.895762,131.984545 60.896018,131.98443 60.896125,131.981742 60.899338,131.977644 60.904274,131.977011 60.90418,131.976094 60.905077,131.974779 60.906139,131.970225 60.909029)"
Улица имени Курашова,"<img src=""https://homsk.com/upload/media/entries/2020-01/06/19769-entry-11-1578311336.jpg""/>
<b>Ефим Иванович Курашов (1892—1946)</b>
Советский военный и государственный деятель. 
В Якутию прибыл в 1922 году в качестве командира 2-го батальона 226-го Петроградского полка 26-ой Златоустовской дивизии. Батальон Курашова участвовал в освобождении Амги, в восстановлении мирной жизни в Усть-Майской и Петропавловской волостях. В октябре 1922 года назначен начальником Восточного боевого участка со штабом в Чурапче, образованного для укрепления военного положения районов, расположенных на восточном берегу реки Лена. Под его командованием был выигран Билистяхский бой с основными силами Пепеляева. За мужество и героизм, проявленные в разгроме пепеляевцев, Е.И.Курашов был награжден орденом Красного Знамени и именным нагрудным знаком Якутского ЦИК.
После гражданской войны служил в Восточной Сибири, Казани и Москве. В годы Великой Отечественной войны руководил всевобучем в Приволжском военном округе.
Имя Е.И.Курашова было присвоено улице и школе № 2 г. Якутска, в  в Амге, Чурапче установлен бронзовый бюст героя.
","LINESTRING (131.964093 60.89544,131.964802 60.895456,131.965418 60.895558,131.967202 60.895914,131.975219 60.897795,131.983456 60.899746,131.98358 60.899818,131.983577 60.899898,131.98329 60.900155,131.982928 60.900378,131.982681 60.900709,131.983019 60.900971,131.983594 60.901166,131.986487 60.901594,131.986895 60.900686,131.986564 60.900306,131.986458 60.899969)"
Улица имени Широких-Полянского,"<img src=""https://yakutia.info/sites/default/files/inline/19/01/pVxRxg4QVo.jpg""/>
<b>Сергей Юльевич Широких-Полянский 1898 – 1922 гг</b>
Знаменитый командующий вооруженными силами Якутской губернии и Северного края, участник Амгинской экспедиции.
С.Ю. Широких-Полянский родился 18 июля 1898 г. в поселке Ушмунском, Догинской станицы, Восточного Забайкалья (ныне Читинская область), в семье бедного крестьянина-казака. Детство было нелегким. Родителей лишился рано – в мае 1920 г. родителей Сергея уже не было в живых.
В 1913 г., окончив Зюльзинское городское училище, Широких-Полянский поступает в учительскую семинарию в г. Чите. В нелегальных кружках 15-летний юноша впервые знакомится с политической борьбой рабочего класса против царизма. В 1915-1916 гг. учителем в селе Верхне-Куларки, на р. Шилке
После Октябрьской революции в 1919 г. Широких-Полянский руководил партизанским военно-революционным судом и Чрезвычайной комиссией по борьбе с контрреволюцией  Прибайкалье.
В декабре 1921 г. Реввоенсовет 5-й армии назначил его  на пост командующего вооруженными силами Якутской губернии и Северного края Н.А. Каландаришвили, а помощником его по политической части – С.Ю. Широких-Полянского. 
В апреле 1922 года выехал в Амгу в качестве военного комиссара сводного экспедиционного отряда. Под его руководством политработники экспедотряда развернули широкую разъяснительную работу среди населения.
План операции по освобождению Амги был разработан еще до приезда нового командующего К.К. Байкалова. 5 мая 1922 года С.Ю.Широких-Полянский, находясь на передовых позициях, был смертельно ранен.
Сергей Юльевич был убит выстрелом из нарезной берданы во время засады. Стрелявшим был якутский хамначчит (батрак), жертва контрреволюции. По приказу Сергея Юльевича он был отпущен. 7 мая 1922 года состоялись торжественные похороны в Амге.
Его именем названы улицы в г. Якутске и с. Амга.","LINESTRING (131.974576 60.898383,131.976249 60.896865,131.979779 60.894005,131.982193 60.892413)"